ranking,score,movie_name,score_num
193,8.6,卡萨布兰卡,116365
194,8.6,燕尾蝶,103085
195,8.7,末路狂花,96404
196,8.5,被解救的姜戈,242518
197,8.5,这个男人来自地球,163305
198,8.4,变脸,200842
199,8.5,终结者2：审判日,131398
200,8.4,英国病人,165110
201,9.0,忠犬八公物语,50984
202,8.5,E.T. 外星人,141988
203,8.8,哪吒闹海,72913
204,8.6,叫我第一名,101857
205,8.4,青蛇,201670
206,8.3,源代码,381742
207,8.4,发条橙,174112
208,9.1,黄金三镖客,46962
209,8.5,黑客帝国3：矩阵革命,142900
210,8.4,新龙门客栈,168598
211,8.3,穆赫兰道,217563
212,8.4,美国丽人,171754
213,8.6,非常嫌疑犯,107387
214,9.2,城市之光,39044
215,8.6,上帝也疯狂,89888
216,8.4,无耻混蛋,207902
217,8.3,初恋这件小事,424724
218,8.9,勇士,81519
219,9.0,爱·回家,44112
220,8.2,蓝色大门,258708
221,8.3,曾经,192265
222,8.6,无敌破坏王,172497
223,8.5,模仿游戏,231509
224,8.7,大卫·戈尔的一生,80575
225,8.4,暖暖内含光,134782
226,8.5,麦兜故事,119534
227,8.5,血钻,118868
228,8.6,蝴蝶,90844
229,8.3,国王的演讲,314179
230,8.5,遗愿清单,115517
231,8.6,巴黎淘气帮,99751
232,8.9,与狼共舞,53032
233,8.4,荒岛余生,122006
234,8.7,爱在午夜降临前,104218
235,8.5,偷拐抢骗,108379
236,8.6,枪火,90102
237,8.2,疯狂的石头,284436
238,8.7,千钧一发,76062
239,8.3,夜访吸血鬼,185537
240,8.5,月球,132178
241,8.7,中央车站,72139
242,8.3,爱在暹罗,209035
243,9.0,我爱你,50521
244,8.8,寿司之神,75113
245,8.5,廊桥遗梦,90512
246,8.4,罪恶之城,132494
247,8.1,两小无猜,302409
248,8.3,彗星来的那一夜,149742
249,8.5,黑鹰坠落,101312
250,8.2,假如爱有天意,216445
